step,x,y,z,yaw,lane_id,segment_id,parent_segment_id,lane_side,direction,direction_group,connect_next
1,-40.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
2,-39.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
3,-39.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
4,-38.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
5,-38.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
6,-37.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
7,-37.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
8,-36.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
9,-36.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
10,-35.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
11,-35.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
12,-34.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
13,-34.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
14,-33.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
15,-33.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
16,-32.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
17,-32.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
18,-31.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
19,-31.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
20,-30.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
21,-30.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
22,-29.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
23,-29.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
24,-28.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
25,-28.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
26,-27.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
27,-27.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
28,-26.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
29,-26.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
30,-25.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
31,-25.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
32,-24.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
33,-24.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
34,-23.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
35,-23.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
36,-22.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
37,-22.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
38,-21.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
39,-21.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
40,-20.500,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,1
41,-20.000,49.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,forward,forward_left,0
42,-40.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
43,-39.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
44,-39.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
45,-38.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
46,-38.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
47,-37.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
48,-37.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
49,-36.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
50,-36.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
51,-35.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
52,-35.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
53,-34.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
54,-34.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
55,-33.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
56,-33.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
57,-32.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
58,-32.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
59,-31.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
60,-31.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
61,-30.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
62,-30.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
63,-29.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
64,-29.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
65,-28.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
66,-28.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
67,-27.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
68,-27.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
69,-26.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
70,-26.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
71,-25.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
72,-25.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
73,-24.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
74,-24.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
75,-23.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
76,-23.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
77,-22.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
78,-22.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
79,-21.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
80,-21.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
81,-20.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
82,-20.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,0
83,-20.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
84,-20.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
85,-21.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
86,-21.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
87,-22.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
88,-22.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
89,-23.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
90,-23.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
91,-24.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
92,-24.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
93,-25.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
94,-25.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
95,-26.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
96,-26.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
97,-27.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
98,-27.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
99,-28.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
100,-28.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
101,-29.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
102,-29.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
103,-30.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
104,-30.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
105,-31.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
106,-31.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
107,-32.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
108,-32.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
109,-33.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
110,-33.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
111,-34.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
112,-34.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
113,-35.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
114,-35.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
115,-36.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
116,-36.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
117,-37.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
118,-37.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
119,-38.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
120,-38.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
121,-39.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
122,-39.500,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,1
123,-40.000,46.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_left,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,left,reverse,reverse_left,0
124,-20.000,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
125,-20.500,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
126,-21.000,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
127,-21.500,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
128,-22.000,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
129,-22.500,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
130,-23.000,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
131,-23.500,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
132,-24.000,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
133,-24.500,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
134,-25.000,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
135,-25.500,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
136,-26.000,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
137,-26.500,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
138,-27.000,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
139,-27.500,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
140,-28.000,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
141,-28.500,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
142,-29.000,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
143,-29.500,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
144,-30.000,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
145,-30.500,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
146,-31.000,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
147,-31.500,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
148,-32.000,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
149,-32.500,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
150,-33.000,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
151,-33.500,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
152,-34.000,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
